date,regime,log_return,body_ratio,upper_wick_ratio,lower_wick_ratio,range_zscore,volume_zscore,volume_delta,gap,atr7_norm,atr14_norm,atr28_norm,atr_ratio,rsi14,rsi28,macd_hist,roc_5,roc_10,roc_20,roc_60,bb_position,dist_sma20,dist_sma50,range_percentile,corr_index,dow_sin,dow_cos,month_sin,month_cos,quarter_end_flag
2015-09-18 00:00:00,4.0,-0.53514135,-1.1210964,0.0011272015,-0.6708397,-0.5482859,-0.36381382,-0.3732299,0.049892575,-0.56982154,-0.15240647,0.48639977,-1.6613271,1.3147196,1.2600025,2.1825292,1.1320331,1.8161082,0.13677807,0.19462538,1.920352,1.8614858,1.1306138,-0.72342753,0.1535827,-0.58778524,-0.809017,-1.0,-1.8369701e-16,0.0
2015-09-21 00:00:00,4.0,-1.6838701,-1.3883752,-0.25699332,-1.0710659,-0.58158296,3.0,3.0,-1.0182323,-0.20070587,0.055282753,0.63300806,-1.0663273,0.2633067,0.2767355,1.5227853,0.20504339,0.677533,0.18905781,-0.6134195,0.5369051,0.54643077,-0.1489066,-0.8437504,0.031485915,-0.95105654,0.309017,-1.0,-1.8369701e-16,0.0
2015-09-22 00:00:00,4.0,0.8932721,0.78449875,0.36570278,0.15698072,-0.7087666,-0.25029922,-1.4456854,0.6079325,-0.37772593,-0.122009054,0.45075518,-1.2043682,0.7549048,0.78869194,1.4214959,0.48901495,1.5535829,1.3794968,-0.3540377,1.1681566,1.1159301,0.45418602,-1.3625044,-0.27751353,0.0,1.0,-1.0,-1.8369701e-16,0.0
2015-09-23 00:00:00,4.0,-1.2792085,-0.2577059,0.91629905,0.35114682,-0.49630067,-0.57100993,-0.70282227,-1.190315,-0.05728246,0.07351254,0.58386725,-0.72606057,0.030159099,0.072099954,0.8051306,-0.55472267,0.14107776,1.8390906,-0.9280141,-0.11394221,0.028355885,-0.4622773,-0.7299242,-1.1992873,0.95105654,0.309017,-1.0,-1.8369701e-16,0.0
2015-09-24 00:00:00,4.0,-0.04106663,-0.53245586,-0.33505216,0.6195328,-0.3641192,-0.62633634,-0.39623967,0.29068494,-0.20198937,-0.040883876,0.47990665,-0.8858622,-0.03730548,0.00479647,0.4184864,-1.3219944,0.07019666,0.7475827,-1.0587479,-0.19945207,-0.07420121,-0.54503846,-0.05748261,0.36521602,0.58778524,-0.809017,-1.0,-1.8369701e-16,0.0
2015-09-25 00:00:00,4.0,-0.36267558,0.3360815,1.9873866,-0.08892558,-0.4686507,0.0578995,1.1237221,-0.538492,-0.35904357,-0.16799639,0.37131867,-1.0553796,-0.27776694,-0.23198469,0.025678664,-1.225043,-0.106833674,0.65039223,-0.35518757,-0.53748864,-0.435556,-0.90832704,-0.8747138,2.3046646,-0.58778524,-0.809017,-1.0,-1.8369701e-16,1.0
2015-09-28 00:00:00,4.0,0.74131244,0.117140695,3.0,-0.8312771,-0.72900915,0.09410193,-0.17801258,0.7165764,-0.32008842,-0.19479962,0.2936771,-0.89253145,0.16444628,0.19517428,-0.0044265776,-0.034077983,0.1505571,-0.13799758,0.0371689,0.07551296,0.1436179,-0.2919211,-1.3853868,1.7427851,-0.95105654,0.309017,-1.0,-1.8369701e-16,1.0
2015-09-29 00:00:00,4.0,-0.90629756,-1.4565879,-0.20486654,-1.2106234,-0.2666239,-0.035534102,-0.33813065,-0.13970721,-0.4290375,-0.27936172,0.22949122,-1.0191644,-0.38276267,-0.33214876,-0.3330498,-0.9237069,-0.40208042,-0.5058136,-0.34071118,-0.7111922,-0.57651967,-1.0822846,-0.77425224,1.6300912,0.0,1.0,-1.0,-1.8369701e-16,1.0
2015-09-30 00:00:00,4.0,1.185888,1.3843055,-1.1642351,0.038782105,0.94563943,-0.07324325,-0.23518306,0.32950458,-0.4366324,-0.34439868,0.11259391,-0.90886474,0.380543,0.40389812,-0.12918791,0.3096608,-0.2126227,0.27517474,-0.027820982,0.35269257,0.3756077,-0.06114902,0.60416335,1.402032,0.95105654,0.309017,-1.0,-1.8369701e-16,1.0
2015-10-01 00:00:00,4.0,2.0063858,1.5289633,-1.1315885,-0.31429633,0.83949304,0.41674396,0.5542439,1.208728,-0.11696743,-0.1962635,0.115486704,-0.30523026,1.5272044,1.6074002,0.67150176,1.3526571,0.053754665,2.4063525,1.2257804,2.0293055,1.7883542,1.7098918,0.4076406,1.083178,0.58778524,-0.809017,-1.0,-1.8369701e-16,1.0
