date,instrument,resolution,action,direction,entry_price,exit_price,size_gbp,leverage,bars_held,pnl_gbp,pnl_pct,h1_prob,confidence,reason
2026-04-03,DAX_GDAXI,1D,OPEN,long,23168.080078125,,276.5,1.0,0,,,0.5552995204925537,Low,signal long prob=0.555
2026-04-03,SP500_GSPC,1D,OPEN,long,6582.68994140625,,389.37,5.85,0,,,0.5778748393058777,Moderate,signal long prob=0.578
2026-04-03,ICE_BZF,1D,OPEN,short,109.02999877929688,,267.15,1.0,0,,,0.4465700685977936,Low,signal short prob=0.553
2026-04-03,CBOT_ZWF,1D,OPEN,short,598.25,,348.15,2.24,0,,,0.43036961555480957,Moderate,signal short prob=0.570
2026-04-03,CRYPTO_BTC-USD,1D,OPEN,long,66931.1015625,,292.49,1.0,0,,,0.5584980249404907,Low,signal long prob=0.558
2026-04-03,LSE_BPL,1D,OPEN,short,591.2000122070312,,407.47,2.23,0,,,0.4185052514076233,Moderate,signal short prob=0.581
2026-04-03,LSE_SHELL,1D,OPEN,short,3543.5,,432.75,2.52,0,,,0.4134491980075836,Moderate,signal short prob=0.587
2026-04-03,NYSE_MSFT,1D,OPEN,long,373.4599914550781,,458.91,2.82,0,,,0.5917820930480957,Moderate,signal long prob=0.592
2026-04-03,NYSE_JPM,1D,OPEN,long,294.6000061035156,,337.72,1.43,0,,,0.5675437450408936,Moderate,signal long prob=0.568
2026-04-03,NYSE_BAC,1D,OPEN,long,49.380001068115234,,356.97,1.65,0,,,0.5713948011398315,Moderate,signal long prob=0.571
2026-04-03,NYSE_AMZN,1D,OPEN,long,209.77000427246094,,305.13,1.06,0,,,0.5610263347625732,Moderate,signal long prob=0.561
2026-04-03,NYSE_GOOGL,1D,OPEN,long,295.7699890136719,,338.76,1.44,0,,,0.5677513480186462,Moderate,signal long prob=0.568
2026-04-03,NYSE_TSLA,1D,OPEN,long,360.5899963378906,,353.97,1.62,0,,,0.570793867111206,Moderate,signal long prob=0.571
2026-04-03,NYSE_V,1D,OPEN,long,300.79998779296875,,275.55,1.0,0,,,0.55511075258255,Low,signal long prob=0.555
2026-04-03,NYSE_XOM,1D,OPEN,short,160.69000244140625,,368.64,1.78,0,,,0.42627185583114624,Moderate,signal short prob=0.574
2026-04-03,NYSE_CVX,1D,OPEN,short,198.97000122070312,,334.05,1.39,0,,,0.4331909120082855,Moderate,signal short prob=0.567
2026-04-03,NYSE_UNH,1D,OPEN,long,277.260009765625,,306.54,1.07,0,,,0.5613080263137817,Moderate,signal long prob=0.561
2026-04-03,TSX_RYTO,1D,OPEN,long,227.33999633789062,,356.18,1.64,0,,,0.5712357759475708,Moderate,signal long prob=0.571
2026-04-03,TSX_MFCTO,1D,OPEN,long,48.56999969482422,,358.78,1.67,0,,,0.5717553496360779,Moderate,signal long prob=0.572
2026-04-03,ASX_CBAAX,1D,OPEN,short,172.8000030517578,,275.04,1.0,0,,,0.4449911415576935,Low,signal short prob=0.555
2026-04-03,EURONEXT_SAPDE,1D,OPEN,long,148.89999389648438,,302.65,1.03,0,,,0.5605302453041077,Moderate,signal long prob=0.561
2026-04-03,EURONEXT_MCPA,1D,OPEN,long,471.04998779296875,,383.94,1.96,0,,,0.5767879486083984,Moderate,signal long prob=0.577
2026-04-03,EURONEXT_TTEPA,1D,OPEN,short,79.41999816894531,,444.88,2.66,0,,,0.41102302074432373,Moderate,signal short prob=0.589
2026-04-06,CRYPTO_BTC-USD,1D,CLOSE,long,66931.1015625,68859.828125,292.49,1.0,1,8.4286,2.882,0.521304190158844,Very Low,prob=0.521 below threshold
2026-04-06,NYSE_V,1D,CLOSE,long,300.79998779296875,303.3299865722656,275.55,1.0,1,2.3176,0.841,0.5472581386566162,Low,prob=0.547 below threshold
2026-04-07,ICE_BZF,1D,CLOSE,short,109.02999877929688,109.2699966430664,267.15,1.0,2,-0.5881,-0.22,0.450278639793396,Low,prob=0.450 below threshold
2026-04-07,ASX_CSLAX,1D,OPEN,long,140.30999755859375,,252.62,1.0,0,,,0.5504723787307739,Low,signal long prob=0.550
